source,longitude,latitude,title,propertytype,provider,description,address,totalunits,url,hidden
https://chfcanada.coop/about-co-op-housing/find-a-co-op/,-113.5143837,53.5183987,AbbyRoad Housing Co-operative,Co-operative Housing,,,"#100, 10950-82 Avenue, Edmonton, Alberta T6G 2R9",50,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.3902105,53.6115839,Acaxual Housing Group Co-op,Co-operative Housing,,,"32 Street, Edmonton, Alberta T5Y 2G7",28,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-114.9155283,52.3730587,Acton House Housing Co-operative,Co-operative Housing,,,"P.O. Box 1371, Rocky Mountain House, Alberta T4T 1B1",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-114.0498665,50.9186524,Alberta75 Housing Co-operative Limited,Co-operative Housing,,"Alberta 75 Housing Co-operative is also a great place to raise your family.  We are a family orientated co-op located in a quiet residential neighbourhood close to schools, parks, gated community lake, and Fish Creek Park.","765 Midglen Gardens South East, Calgary, Alberta T2X 1R9",150,http://www.alberta75.ca,
,-113.6406281,53.5174926,Aldergrove Housing Co-operative,Co-operative Housing,,,"184 Street, Edmonton, Alberta T5T 4K7",34,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.484101,53.5700773,Arts Hub Housing Co-operative,Co-operative Housing,,,"11731 93 Street NW, Edmonton, Alberta T5G 1E2",16,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.4762925,53.5447504,Artspace Housing Co-operative Ltd.,Co-operative Housing,,,"9330 - 101A Avenue, Edmonton, Alberta T5H 0C3",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,,,,,,,,,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,TRUE
,-113.6388583,53.5253071,Belmead Housing Co-operative,Co-operative Housing,,,"182 Street, Edmonton, Alberta T5T 2E3",39,https://nacha.ca/listing/belmead-housing-co-op/,
,-113.4528762,53.4459035,Briar Rose Estates Housing Co-operative Ltd. (AB),Co-operative Housing,,,"80 Street, Edmonton, Alberta T6K 4A8",24,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-112.831715,49.719526,Bridge Housing Co-operative,Co-operative Housing,,,"1550 St. George Road North, Lethbridge, Alberta T1H 5A1",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.2945977,53.5478816,Brittany Lane Housing Co-operative,Co-operative Housing,,"Brittany Lane Housing Co-op is a diverse community of people living in the heart of Sherwood Park. Our co-op rises above merely affordable housing: we work together to create a friendly, safe neighbourhood that connects home and community.","130 Crystal Lane, Sherwood Park, Alberta T8H 1S4",58,http://www.brittanylanecoop.com,
,-116.5765035,53.9332706,Cameron Avenue Cohousing Co-operative Ltd.,Co-operative Housing,,We are a 14 unit housing cooperative located in the heart of Edmonton,,14,http://cameronaveco-op.com,
,-113.9302239,51.0848634,Canadian Hispanic Village Housing Co-operative,Co-operative Housing,,"The CHVHC consists of a total of 11 buildings, each consisting of varying numbers of single-family units. There are 62, two-storey townhouses with owner-developed and undeveloped basements; two of which are barrier free accessible units. Out of these units, 34 contain three bedrooms, 21 contain four bedrooms, and seven contain five bedrooms. There is a two-storey double communal unit within one of the townhouse buildings (Unit 89) and is used as the general office and community hall.","89  Las Americas Villas NE, Calgary, Alberta T1Y 6Y6",62,http://canadianhispanicvillageco-op.ca,
,-113.6140881,53.548429,Canora Housing Co-operative,Co-operative Housing,,,"10451 - 170 Street, Edmonton, Alberta T5P 4T2",30,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-116.5765035,53.9332706,Cedar Roots Housing Co-operative,Co-operative Housing,,,,42,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.7763358,52.2723212,Clearview Housing Co-operative,Co-operative Housing,,,"Cameron Crescent, Red Deer, Alberta T4N 5H3",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.4659118,53.5719621,Commonage Housing Co-operative,Co-operative Housing,,,"109-119 Ave &amp; 122-130 St,  Zone: North West P.O., Edmonton, Alberta T5G 3G4",20,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.6179165,53.527302,Consort Housing Co-operative Ltd.,Co-operative Housing,,,"92 Avenue, Edmonton, Alberta T5T 3K7",26,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.467437,53.521942,Coopérative d'habitation Le Quartier du Collège,Co-operative Housing,,,"91st Street, Edmonton, Alberta T6C 4M1",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.2651498,53.5519592,Davidson Creek Housing Co-op,Co-operative Housing,,,"#19, 156 Darlington Drive, Sherwood Park, Alberta T8A 5L8",52,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-114.054037,51.1144337,Deerfoot Estates Housing Co-operative Ltd.,Co-operative Housing,,,"47 Hunterhorn Gardens North East, Calgary, Alberta T2K 6E4",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.454096,53.6066016,Estrella del Sur Housing Co-operative,Co-operative Housing,,,"144 Avenue N.W., Edmonton, Alberta T5A 4E8",23,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.9234955,53.5588933,Grove Seniors Village Co-operative,Co-operative Housing,,,"#90  101 Grove Drive, Spruce Grove, Alberta T7X 3H7",89,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-114.053268,50.903346,Heatherglen Housing Co-operative Ltd.,Co-operative Housing,,,"143 Sunbank Lane South East, Calgary, Alberta T2X 1X4",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.6178842,53.6123006,Heritage Hills Housing Co-operative,Co-operative Housing,,,"5 Hunchak Way, #51, St. Albert, Alberta T8N 6E9",50,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.845937,50.5770413,Hi-Wood Meadows Housing Co-operative Ltd.,Co-operative Housing,,,"9th Avenue South East, #100, High River, Alberta T1V 1N4",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.454096,53.6066016,Homestead Housing Co-operative,Co-operative Housing,,,"144 Avenue, Edmonton, Alberta T5A 4E8",34,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.499346,53.5225513,Hromada Housing Co-operative,Co-operative Housing,,,"87 Ave., Edmonton, Alberta T6E 2P4",21,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-114.0520476,51.113848,Hunter Estates Housing Co-operative Ltd.,Co-operative Housing,,"Hunter Estates Housing Cooperative is situated in the established neighbourhood of Huntington Hills in the NE quadrant of the city. Built in 1983, our 138 – 3 bedroom townhouse complex is located on the bluff looking East at Deerfoot and 64th Ave NE. (There are some spectacular sunrises.)","304 Hunterhorn Lane North East, Calgary, Alberta T2K 6E7",138,http://www.hunterestates.ca,
,-113.6100887,53.4988234,Ideal Housing Co-operative,Co-operative Housing,,,"385 Walker Road, Edmonton, Alberta T5T 4C2",39,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,,,,,,,,,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,TRUE
,-113.5085658,53.5567353,Integra Housing Co-operative Limited,Co-operative Housing,,,"109 Street,  The President, Edmonton, Alberta T5H 3C3",42,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-114.0792111,50.9517929,Jubilee Housing Co-operative,Co-operative Housing,,,"11259 6th Street SW, Calgary, Alberta T2W 1Z5",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.4131316,53.4457946,Kalaka Housing Co-operative,Co-operative Housing,,,"48 Street, Edmonton, Alberta T6L 5L2",10,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.4635814,53.4694963,Keegano Housing Co-operative Ltd.,Co-operative Housing,,"Mill Woods is one of the southernmost sections of Ward 11 municipality. Our community is a well established and active part of the neighbourhood and we try to be a shining example of friendly, caring and connected people. We celebrate each other and the diversity of cultures, beliefs and connections each member brings to Keegano and to the larger communities.","19 Keegano NW, Edmonton, Alberta T6K 0R3",50,http://keegano.ca,
,-113.490413,53.58597,Kuanna Housing Co-operative,Co-operative Housing,,,"96 Street, Edmonton, Alberta T5E 4B1",6,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.4292609,53.4506608,Las Americas Housing Co-operative (AB),Co-operative Housing,,,"19A Avenue, Edmonton, Alberta T6L 1L8",35,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.630012,53.643304,Liberton Terrace Housing Co-operative,Co-operative Housing,,,"53 McKenney Avenue, St. Albert, Alberta T8N 5R9",43,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.9393731,51.10745,Liberty Housing Co-operative (AB),Co-operative Housing,,,"300 Falshire Drive, Calgary, Alberta T3J 2A8",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.5024772,53.6206242,Los Andes Housing Co-operative (AB),Co-operative Housing,,,"45 Stirling Road Northwest, Edmonton, Alberta T5X 4C2",23,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-114.0287574,51.0399648,Moccasin Flats Housing Co-operative,Co-operative Housing,,,"1433  8th Avenue South East, Calgary, Alberta T2G 0N1",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-114.939155,52.372166,Moose Country Housing Co-operative,Co-operative Housing,,,"4912  63rd Street, Rocky Mountain House, Alberta T4T 1G2",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-116.5765035,53.9332706,Mountain Haven Co-operative Homes Ltd.,Co-operative Housing,,"The co-operative has forty-four stacked townhouse units in seven buildings ranging in size from one to four bedrooms and 700 to 1500 square feet. The Perpetually Affordable Housing is located in Three Sisters – right off highway #1, another right and then left, units are down Dyrgas Lane. There are 12 Non-Equity (lease-to-own) units and 32 Equity (for sale) units – 6 of which are non-CNIT.","101-125G Dyrgas Lane Canmore, AB, Canada T1W 0A9",44,https://www.facebook.com/mountainhavencooperativehomes/,
,-114.0415268,51.0363061,Ramsay Heights Housing Co-operative,Co-operative Housing,,,"1911 Spiller Road South East, Calgary, Alberta T2G 4G5",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.398747,53.464315,Rengo Housing Co-operative,Co-operative Housing,,,"3419, 37th Street, Edmonton, Alberta T6L 4Y8",16,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.4890727,53.5466125,Riverdale Housing Co-operative (AB),Co-operative Housing,,,"P.O. Box 12004, Edmonton, Alberta T5J 3L2",2,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.5083964,53.5234913,Riverwind Housing Co-operative,Co-operative Housing,,,"10731 Saskatchewan Drive, Edmonton, Alberta T6E 6H1",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.5301864,53.6029451,Ruben Dario Housing Co-operative,Co-operative Housing,,,"121 Street, Edmonton, Alberta T5X 3S6",34,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.4611831,53.4529319,Salvador Housing Co-operative,Co-operative Housing,,,"8532 - 24 Avenue NW, Edmonton, Alberta T6K 3C8",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-114.1362528,51.0163687,Sarcee Meadows Housing Co-operative Ltd.,Co-operative Housing,,"Sarcee Meadows Housing Co-operative is nestled in the community of Rutland Park. The boundaries of Rutland Park are from Crowchild Trail on the east to 37 Street on the West, and from Richmond Road to Glenmore Trail South. Plans are underway to include base lands in our community.","4221 Sarcee Road South West, Calgary, Alberta T3E 6V9",380,http://www.sarceemeadows.coop,
,-114.1237299,50.9533758,Sikome Rise Housing Co-operative,Co-operative Housing,,,"27th South West, Calgary, Alberta T2W 2Z6",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-113.9594082,50.7271772,Skotoko Housing Co-operative Ltd.,Co-operative Housing,,"Skotoko is a 38 unit Townhouse complex offering 3 bedroom units in the town of Okotoks.  All units feature fridge, stove and fenced back yard and an open front yard. There is a full unfinished basement, a half bath on the main floor and a full bath upstairs.  The square footage of each unit is 1,060 sq. ft.  Skotoko is in the process of installing all new kitchens in the units which include a dishwasher.","39 Skotoko Place, Okotoks, Alberta T1S 1R5",38,https://skotokohousing.com/,
