source,longitude,latitude,title,propertytype,group,provider,description,address,units,url,hidden
https://www.chf.bc.ca/find-co-op/,-122.90187,49.24809,115 Place Co-operative Housing Association,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,234,https://www.chf.bc.ca/co-op/?id=0011500001L5jtdAAB,
,-123.33445,48.42788,1678 Fort Street Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jteAAB,
,-123.928121,48.381626,A Common Way Home Co-op Housing Association,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011C00002GGBtVQAX,
,-123.102788329,49.270373787,Aaron Webster Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jt9AAB,
,-122.31495,49.03815,Abbotsford Co-operative Housing,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jt3AAB,
,-123.04557776,49.26540171,Access Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jtkAAB,
,-123.02811463,49.2763955,Adanac Village Housing Co-operative Society,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jvUAAR,
,-123.04097739,49.2365991,Alberni Family Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5juVAAR,
,-123.1340075,49.26771357,Alder Bay Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jvGAAR,
,-123.02555612,49.20868184,Alexander Laidlaw Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jsuAAB,
,-123.09046001,49.28366031,Alexander Street Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5ju2AAB,
,-123.34771,48.44016,Alf Toone Housing Cooperative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5ju6AAB,
,-123.15411,49.330045,Ambleview Place Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jtfAAB,
,-123.12576234,49.28281842,Amicae Housing Cooperative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jv0AAB,
,-123.00989,49.22559,Andras Place Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jvOAAR,
,-123.02403574,49.23928138,Anita Lewis Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jslAAB,
,-122.88165,49.26822,Anskar Court Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jwcAAB,
,-122.98588,49.21485,Antrim Place Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jt2AAB,
,-122.79533,49.19334,Arboretum Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jw3AAB,
,-123.15668311,49.26266151,Arbutus Housing Cooperative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jwpAAB,
,-122.89354,49.1495,Arland Mews Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5juyAAB,
,-123.0314457,49.21961153,Arlington Grove Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jv3AAB,
,-123.11773843,49.20854521,Ashley Mar Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jtHAAR,
,-122.92004,49.23373,Avalon Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jt6AAB,
,-122.840271,49.137227,Avondale Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001LxSAfAAN,
,-122.29714,49.04556,Bakerview Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jvMAAR,
,-123.38278,48.41956,Beckley Farm Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jv9AAB,
,-123.12761,49.16088,Benryk Mews Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jvsAAB,
,-122.83853,49.13136,Birch Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jtPAAR,
,-119.29948,50.26286,Blue Skies Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jurAAB,
,-123.12777,49.16085,Blueberry Vale Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jvuAAB,
,-122.96029,49.20892,Bounty Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jwSAAR,
,-123.33968,49.38286,Bowen Island Seniors Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jtmAAB,
,-123.14388,49.76689,Bracken Heights Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jvCAAR,
,-123.3814,48.49659,Broadoaks Housing Cooperative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jwBAAR,
,-123.18021442,49.2640035,Broadview Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5juYAAR,
,-122.32697,49.05986,Brooksford Place Housing Co-operative,Co-operative Housing,,Co-operative Housing Federation of BC (CHF BC) Member,,,,https://www.chf.bc.ca/co-op/?id=0011500001L5jwEAAR,
