source,longitude,latitude,title,propertytype,group,provider,description,address,units,url,hidden
https://chfcanada.coop/about-co-op-housing/find-a-co-op/,-97.158446,49.8855594,Artemis Housing Co-op,Co-operative Housing,,,Please call (204) 942-0991 for more details about this property.,"222 Furby Street,  Winnipeg, Manitoba R3C 2A7",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.101428,49.8103119,Ascot Park Housing Co-operative Ltd.,Co-operative Housing,,,,"181 John Forsyth Road,  Winnipeg, Manitoba R2N 1R3",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-99.9456386,49.8713317,Aspen Woods Co-op,Co-operative Housing,,,Please call (204) 728-5517 for more details about this property.,"204 Wapiti Way,  Brandon, Manitoba R7A 6L7",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.183562,49.8975553,Betelstadur Housing Co-operative,Co-operative Housing,,,Please call (204) 772-7164 for more details about this property.,"1061 Sargent Avenue,  Winnipeg, Manitoba R3H 0X4",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1519347,49.8700991,Bluestem Housing Co-operative,Co-operative Housing,,,Please call (204) 452-2367 for more details about this property.,"708 Jessie Avenue,  Winnipeg, Manitoba R3M 1A5",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-100.4915696,49.1904449,Border Hills Housing Co-operative Ltd.,Co-operative Housing,,,,"112 Lovett Street, Box 566,  Deloraine, Manitoba R0M 0M0",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1501224,49.8958475,Central Park Housing Co-operative,Co-operative Housing,,,,"401 Kennedy Street,  Winnipeg, Manitoba R3B 2N2",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1280675,49.9243243,Charles Cathedral Housing Co-operative,Co-operative Housing,,,Please call (204) 982-2000 for more details about this property.,"250 Cathedral Avenue,  Winnipeg, Manitoba R2W 0X5",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1075309,49.9044252,Columbus Centennial Seniors Co-operative Housing Ltd.,Co-operative Housing,,,Please call (204) 982-2000 for more details about this property.,"404 Desalaberry Avenue,  Winnipeg, Manitoba R2L 2G3",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.153313,49.883391,Common Ground Housing Co-operative (MB),Co-operative Housing,,,,"56 Balmoral Street,  Winnipeg, Manitoba R3C 1X4",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.143096,49.764214,Coop?ritave Chalet St. Norbert Lt?e.,Co-operative Housing,,,Please call (204) 275-0901 for more details about this property.,"80 St. Pierre Street,  St. Norbert, Manitoba R3V 1J8",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1523639,49.9526018,D.A.L.A.C.P.T. Housing Co-operative,Co-operative Housing,,,,"200 Watson Street,  Winnipeg, Manitoba R2P 1Z6",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-100.0473437,51.154411,Dauphin Retirement Housing Co-operative Ltd.,Co-operative Housing,,,,"6th Avenue North West,  Dauphin, Manitoba R7N 1J6",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1476398,49.9014827,Filcasa Housing Co-operative Ltd.,Co-operative Housing,,,,"442 William Avenue,  Winnipeg, Manitoba R3A 0J6",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-98.8138762,53.7608608,Greenheart not-For-Profit Housing Co-operative Ltd.,Co-operative Housing,,,Please call  for more details about this property.,,,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1553179,49.817395,Harambee Housing Co-operative,Co-operative Housing,,,,"45 Gaylene Place,  Winnipeg, Manitoba R3T 5V1",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.2672868,50.3853629,Interlake Housing Co-op (Teulon) Ltd.,Co-operative Housing,,,Please call (204) 886-2760 for more details about this property.,"Box 622, 100 Third Street South East,  Teulon, Manitoba R0C 3B0",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.0786279,49.9363737,Kingsfordhaus Housing Co-operative,Co-operative Housing,,,,"426 Kingsford Avenue,  Winnipeg, Manitoba R2G 0J8",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-98.0381272,50.6951948,Lundar Co-operative Senior Citizens Homes Inc.,Co-operative Housing,,,,"86 Main Street,  Lundar, Manitoba R0C 1Y0",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-97.1531833,49.9151794,M.A.P.S. Housing Co-operative,Co-operative Housing,,,Please call (204) 982-2000 for more details about this property.,"659 Dufferin Avenue,  Winnipeg, Manitoba R2W 2Z1",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
