source,longitude,latitude,title,propertytype,group,provider,description,address,units,url,hidden
https://chfcanada.coop/about-co-op-housing/find-a-co-op/,-52.806928,47.5190273, Apollo Housing Co-operative Society Ltd.,Co-operative Housing,,,,"P.O. Box 604, Mount Pearl, Newfoundland and Labrador A1N 2X1",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-52.806928,47.5190273, Barbour Manors Housing Co-operative Society Ltd.,Co-operative Housing,,,,"P.O. Box 976, Mount Pearl, Newfoundland and Labrador A1N 3C9",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-55.657249,48.927688, Beothuck Housing Co-operative Society Ltd.,Co-operative Housing,,,,"P.O. Box 866, Grand Falls - Windsor, Newfoundland and Labrador A2A 2P7",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-52.808892,47.5059179, Cabot Housing Co-operative,Co-operative Housing,,,,"115 Munden Drive, Mount Pearl, Newfoundland and Labrador A1N 3C9",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-52.7618501,47.530898, Camelot Housing Co-operative Society Ltd.,Co-operative Housing,,,,"7 Twillingate Place, St. John, Newfoundland and Labrador A1N 2C4",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-52.806928,47.5190273, Caribou Housing Co-operative,Co-operative Housing,,,,"P.O. Box 751, Mount Pearl, Newfoundland and Labrador A1N 2Y2",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-57.9258156,48.9640237, Corner Brook Housing Co-operative Society Ltd.,Co-operative Housing,,,,"144 Humber Road, Corner Brook, Newfoundland and Labrador A2H 6T2",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-54.6048963,48.9489126, Crossroads Housing Co-operative (NF),Co-operative Housing,,,,"93 Bennett Drive, Gander, Newfoundland and Labrador A1V 1N2",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-52.7583459,47.5643632, Cumberland Housing Co-operative,Co-operative Housing,,,,"68 Cumberland Crescent, St. John's, Newfoundland and Labrador A1B 3M5",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-52.806928,47.5190273, Easton Housing Co-operative,Co-operative Housing,,,,"P.O. Box 945, Mount Pearl, Newfoundland and Labrador A1N 3C9",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-52.806928,47.5190273, Freedom Housing Co-operative,Co-operative Housing,,,,"P.O. Box 565, Mount Pearl, Newfoundland and Labrador A1N 2W4",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-57.6604364,53.1355091, Future Housing Co-operative,Co-operative Housing,,,,,,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-52.806928,47.5190273, Genesis Housing Co-operative Society Ltd. (NF),Co-operative Housing,,,,"P.O. Box 356, Mount Pearl, Newfoundland and Labrador A1N 2C3",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-55.6367257,48.9469366, Grand Falls Housing Co-operative Society,Co-operative Housing,,,,"P.O. Box 762, Grand Falls, Newfoundland and Labrador A2A 2M8",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-52.7595531,47.5051031, Kilbride Housing Co-operative Society Ltd.,Co-operative Housing,,,,"P.O. Box 30034, St. John, Newfoundland and Labrador A1G 1T3",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-52.8125002,47.5064023, Liberty Housing Co-operative (NF),Co-operative Housing,,,,"37 Munden Avenue, Mount Pearl, Newfoundland and Labrador A1N 3C9",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-52.7206436,47.5573857, Odyssey Housing Co-operative,Co-operative Housing,,,,"PO Box 26012, St. John, Newfoundland and Labrador A1C 0A5",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-52.806928,47.5190273, Pearlgate Housing Co-operative,Co-operative Housing,,,,"P.O. Box 391, Mount Pearl, Newfoundland and Labrador A1N 2C4",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-52.7113979,47.5600236, S.O.D. Housing Co-operative,Co-operative Housing,,,,"P.O. Box 1737, St. John, Newfoundland and Labrador A1C 5P5",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-52.806928,47.5190273, Viking Housing Co-operative Society Ltd.,Co-operative Housing,,,,"P.O. Box 642, Mount Pearl, Newfoundland and Labrador A1N 2X1",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
,-52.806928,47.5190273, Whiteley Drive Housing Co-operative,Co-operative Housing,,,,"P.O. Box 969, Mount Pearl, Newfoundland and Labrador A1N 3C9",,https://chfcanada.coop/about-co-op-housing/find-a-co-op/,
