source,longitude,latitude,title,propertytype,provider,description,address,totalunits,url,hidden
https://data.novascotia.ca/Community-Services/Public-Housing-Units-Nova-Scotia-Seniors/2it9-2f4a,-62.66641691,45.54323763,Riverton Heights I,Seniors,Eastern Mainland Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"19/27/29 Riverton Heights Drive, Pictou County, B0K 1S0, Canada",20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-61.0559937,46.53726894,Bellevue,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"10 Grand Etang, Grand Etang, B0E 1L0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.17292816,46.13510892,Sydney Senior Duplexes - 77 Ainsley St,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"77 Ainsley St, Sydney, , Canada",2,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.0605951,45.65052228,Elgin Street Villa,Seniors,Cobequid Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"22 Elgin Street, Springhill, B0M 1X0, Canada",17,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.17893532,46.15249845,William Street S/C,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"10 William St, Sydney, B1N 1R4, Canada",20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.25496229,46.26161753,198 Pitt Street,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,,15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-66.11930184,43.82709972,Trinity Place,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"3 Trinity Place, Yarmouth, B5A 1P3, Canada",16,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-63.27857094,45.35948674,Young St. Lodge,Seniors,Cobequid Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"130 Young Street, Truro, B2N 3X4, Canada",16,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.32493207,44.29439116,Ritcey's Cove Manor Lunen,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"3809 Hwy. 332, Riverport, B0J 2W0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-63.61262715,44.67123728,Dr. Prince Manor (HN),Seniors,Metropolitan Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"3792 Novalea Drive, Halifax, B3K 3G5, Canada",135,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.301968,44.37645305,Blockhouse Hill Apts. Lun,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"37 Blockhouse Hill, Lunenburg, B0J 2C0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-63.73906184,44.72348027,Woodlyn Manor,Seniors,Metropolitan Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"2 Woodlyn Drive, Hammonds Plain, B4B 1J2, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.12745445,44.97500598,Kendall Villa West Hants,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"123 Kendall Lane, Windsor, B0N 2T0, Canada",25,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-61.00151397,45.33727407,Pines Manor,Seniors,Eastern Mainland Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"1112 Union Street, Canso, B0H 1H0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-62.72343241,45.67565742,Strathcona Place I,Seniors,Eastern Mainland Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"115 Haliburton Road (20), Pictou, B0K 1H0, Canada",20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-59.97098725,46.19590016,86 Nolans Lane-Valleyview,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"86 Nolans Lane, Glace Bay, B1A 6E1, Canada",60,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-63.68924463,44.78221605,Glendale Manor,Seniors,Metropolitan Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"1 Smokey Drive, Lower Sackville, B4C 3H9, Canada",40,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.21108203,45.98288632,Mira Manor,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"3961 Highway 327, Marion Bridge, B1K 1A6, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-65.14983708,44.89090664,Anna Villa Seniors I,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"Fitch Road, Lawrencetown, B0S 1M0, Canada",40,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.50727874,44.38491723,Miller Manor Bridgewater,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"107 Miller Drive, Bridgewater, B4V 3J6, Canada",25,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-59.87144095,46.1858084,Donkin,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"10 Second St, Donkin, B0A 1A0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.08794568,46.24805238,Smith Street S/C,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,,20,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-62.66752109,45.55681243,Birch Hill II Phase 4,Seniors,Eastern Mainland Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"43 Acadia (101-208), RR1 Stellarton, BOK 1SO, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-63.27563137,45.36532006,H.A. Johnson Manor,Seniors,Cobequid Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"9 Church Street, Truro, B2N 3Z5, Canada",23,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.08048409,46.24199346,Nicholson Avenue S/C,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"3142 Nicholson Avenue, New Waterford, B1H 1N8, Canada",30,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-60.19631932,46.12272423,Alexandra St,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"235 Alexandra St, Sydney, B1S 3A4, Canada",57,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-63.50250332,45.31729935,Cobequid Bay Manor,Seniors,Cobequid Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"59 Maple Ave, Maitland N S, B0N 1T0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-61.30242174,46.23168338,Church Street,Seniors,Cape Breton Island Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"119 Church Street, Inverness, B0E 1N0, Canada",10,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.70826641,44.03637485,Waterloo Place II Queens,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"12 Hollands Drive, Liverpool, B0T 1K0, Canada",10,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-64.7286658,45.03516542,Fundy Villa,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"108 Commercial Street, South Berwick, B0P 1E0, Canada",40,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
,-65.8013841,43.66115371,Belle Vue Apts,Seniors,Western Regional Housing Authority,This program provides affordable rental housing to seniors (age 58 and older) with low incomes. Rent is determined by your annual income.,"30 Abbotts Harbour Road, Middle West Pubnico, B0W 2M0, Canada",15,https://housing.novascotia.ca/programs/public-housing-and-other-affordable-renting-programs-housing-programs-seniors/public,
