source,longitude,latitude,title,propertytype,provider,description,address,totalunits,affunits,rgiunits,url
https://chaseo.coop/co-op-directory/,-75.6963184,45.4164787,Abiwin Co-op,Co-operative Housing,,,"299 Somerset Street W, Ottawa, Ontario K2P 2L3",90,,,https://abiwincooperativeinc.wildapricot.org/
,-75.7144959,45.412083,Alex Laidlaw Co-op,Co-operative Housing,,,"190 Booth Street, Ottawa, Ontario K1R 7J4",36,,,https://alexlaidlaw.coop/
,-75.64295,45.363806,Alliance Co-op,Co-operative Housing,Alliance Housing Co-Operative Inc,"The Alliance Co-op is a non-profit housing corporation. But, unlike other non-profit housing types, which are run by the city or the Province, the Alliance Housing Co-op is under Federal Jurisdiction and therefore run by its members. In order to live here, you must first become a member of the Co-op.","131 Firewood Private Ottawa, Ontario K1T 2B9",,,,http://www.alliance-housing-coop.ca/
,-75.7390581,45.3777074,Andy Andras Co-op,Co-operative Housing,,,"1435 Larose Avenue, Ottawa, Ontario K1Z 7X9",43,,,http://andyandras.ca/
,-75.62271,45.429623,Better Living Co-op,Co-operative Housing,,,"13-1350 Ogilvie Road, Ottawa Ontario K1J 9L2",50,,,https://chaseo.coop/co-op-directory/
,-75.623546,45.4298134,Birchwood Meadow Co-op,Co-operative Housing,,,"1380 Ogilvie Road, Gloucester, ON K1J 9L7",70,,,https://birchwoodmeadow.ca/
,-75.929596,45.353162,Blue Heron Co-op,Co-operative Housing,,,"750 March Road, Kanata, Ontario K2K 0A4",83,,,https://chaseo.coop/co-op-directory/
,-75.669964,45.348528,Cardinus Co-op,Co-operative Housing,,,"141 Twyford Street Ottawa, Ontario K1V 0W4",78,,,https://chaseo.coop/co-op-directory/
,-75.700235,45.362177,Carillon Co-op,Co-operative Housing,,,"314-1601 Prince of Wales Ottawa, Ontario K2C 3P8",54,,,https://chaseo.coop/co-op-directory/
,-75.6008586,45.3740324,Carpenter Co-op,Co-operative Housing,,,"92-181 Forestglade Cr. Ottawa, Ontario K1G 5Z5",84,,,https://chaseo.coop/co-op-directory/
