source,longitude,latitude,title,propertytype,group,provider,description,address,units,url,hidden
http://www.habitation.gouv.qc.ca/repertoire.html,-71.2026719,46.8136053,Coop. Hab. rue Saint-Pierre ,Co-operative Housing,,,,"45 Rue Saint-Pierre, Québec, QC G1K 3Z6, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_hab_rue_saint_pierre.html,
,-72.4844478,45.2120924,Coop. sol. retraités Squatec ,Co-operative Housing,,,,"1 Montée des Pins, Knowlton, QC J0E 1V0, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_sol_retraites_squatec.html,
,-71.2296997,46.8294430,Coop.Hab. Anse de La Pocatière ,Co-operative Housing,,,,"1310 4e Avenue appartement A, Québec, QC G1J 3B6, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_anse_de_la_pocatiere.html,
,-71.2105666,46.8112884,Coop.Hab. Bocage ,Co-operative Housing,,,,"44 Rue Sainte-Ursule, Québec, QC G1R 4E4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_bocage.html,
,-69.5318647,47.8285167,Coop.Hab. Grenier Riv.-du-Loup ,Co-operative Housing,,,,"476 Rue Lafontaine, Rivière-du-Loup, QC G5R 1V4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_grenier_riv_du_loup.html,
,-71.2071117,46.8464399,Coop.Hab. Maisons de sable ,Co-operative Housing,,,,"Rue Saint Georges Côté, Québec, QC G1E, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_maisons_de_sable.html,
,-73.4464450,45.7387390,Coop.Hab. Mon Séjour St-Pascal ,Co-operative Housing,,,,"450 Rue Notre-Dame, Repentigny, QC J6A 2T4, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_mon_sejour_st_pascal.html,
,-67.8795609,48.4458308,Coop.Hab. Oasis la Rédemption ,Co-operative Housing,,,,"58 Rue Soucy, La Rédemption, QC G0J 1P0, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_oasis_la_redemption.html,
,-73.5952682,45.4538844,Coop.Hab. Padoue ,Co-operative Housing,,,,"Rue Beaulieu, Montréal, QC H4E, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_padoue.html,
,-68.5437840,48.4308806,Coop.Hab. Rivière ,Co-operative Housing,,,,"507 Rue Tessier, Rimouski, QC G5L 4L8, Canada",,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_riviere.html,
