source,longitude,latitude,title,propertytype,provider,description,address,totalunits,affunits,rgiunits,url,hidden
http://www.habitation.gouv.qc.ca/repertoire.html,-71.2026719,46.8136053,Coop. Hab. rue Saint-Pierre ,Coopérative (Coop),,,"45 Rue Saint-Pierre, Québec, QC G1K 3Z6, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_hab_rue_saint_pierre.html,
,-72.4844478,45.2120924,Coop. sol. retraités Squatec ,Coopérative (Coop),,,"1 Montée des Pins, Knowlton, QC J0E 1V0, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coop_sol_retraites_squatec.html,
,-71.2296997,46.8294430,Coop.Hab. Anse de La Pocatière ,Coopérative (Coop),,,"1310 4e Avenue appartement A, Québec, QC G1J 3B6, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_anse_de_la_pocatiere.html,
,-71.2105666,46.8112884,Coop.Hab. Bocage ,Coopérative (Coop),,,"44 Rue Sainte-Ursule, Québec, QC G1R 4E4, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_bocage.html,
,-69.5318647,47.8285167,Coop.Hab. Grenier Riv.-du-Loup ,Coopérative (Coop),,,"476 Rue Lafontaine, Rivière-du-Loup, QC G5R 1V4, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_grenier_riv_du_loup.html,
,-71.2071117,46.8464399,Coop.Hab. Maisons de sable ,Coopérative (Coop),,,"Rue Saint Georges Côté, Québec, QC G1E, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_maisons_de_sable.html,
,-73.4464450,45.7387390,Coop.Hab. Mon Séjour St-Pascal ,Coopérative (Coop),,,"450 Rue Notre-Dame, Repentigny, QC J6A 2T4, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_mon_sejour_st_pascal.html,
,-67.8795609,48.4458308,Coop.Hab. Oasis la Rédemption ,Coopérative (Coop),,,"58 Rue Soucy, La Rédemption, QC G0J 1P0, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_oasis_la_redemption.html,
,-73.5952682,45.4538844,Coop.Hab. Padoue ,Coopérative (Coop),,,"Rue Beaulieu, Montréal, QC H4E, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_padoue.html,
,-68.5437840,48.4308806,Coop.Hab. Rivière ,Coopérative (Coop),,,"507 Rue Tessier, Rimouski, QC G5L 4L8, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_riviere.html,
,-73.5666041,45.3721374,Coop.Hab. St-Gabriel ,Coopérative (Coop),,,"102 Rue Berger, Saint-Constant, QC J5A 2G6, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_st_gabriel.html,
,-68.7114289,48.3706847,Coop.Hab. Ste-Cécile du Bic ,Coopérative (Coop),,,"152 Rue Gérard-Roussel, Le Bic, QC G0L 1B0, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_ste_cecile_du_bic.html,
,-71.0675120,48.4278955,Coop.d'hab. La Persévérance ,Coopérative (Coop),,,"30 Rue Racine E bureau 110, Chicoutimi, QC G7H 1P5, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coopdhab_la_perseverance.html,
,-71.0800290,48.4255132,Coop.Hab. 4 Vents Chicoutimi,Coopérative (Coop),,,"391 Rue Dréan, Chicoutimi, QC G7J 3K4, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_4_vents_chicoutimi.html,
,-71.0457911,48.4068337,Coop.Hab. Adélard Plourde ,Coopérative (Coop),,,"1241 Avenue Adélard Plourde, Chicoutimi, QC G7H 6V3, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_adelard_plourde.html,
,-72.4432009,48.6487151,Coop.Hab. Ainés St-Félicien ,Coopérative (Coop),,,"1041 Rue Saint Christophe, Saint-Félicien, QC G8K 1Y9, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_aines_st_felicien.html,
,-72.2046123,48.8920027,Coop.Hab. B.L. de Sullivan ,Coopérative (Coop),,,"112 Avenue de l'Église #204, Dolbeau-Mistassini, QC G8L 4W4, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_bl_de_sullivan.html,
,-71.2401242,48.4277163,Coop.Hab. Beauregard ,Coopérative (Coop),,,"3708 Rue de Champlain, Jonquière, QC G7X, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_beauregard.html,
,-71.2290458,46.8019019,Coop.Hab. Bercail Chicoutimi ,Coopérative (Coop),,,"301 Rue Fraser, Québec, QC G1S 1R1, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_bercail_chicoutimi.html,
,-71.6376405,48.5583463,Coop.Hab. Carrefour Alma ,Coopérative (Coop),,,"611 Chemin du Pont Taché, Alma, QC G8B 6T4, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_carrefour_alma.html,
,-72.2376525,48.8832263,Coop.Hab. Châtelaine Dolbeau ,Coopérative (Coop),,,"1904 Boulevard Wallberg, Dolbeau-Mistassini, QC G8L 1J2, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_chatelaine_dolbeau.html,
,-71.6545118,48.5470353,Coop.Hab. Côte du Collège ,Coopérative (Coop),,,"343 Côte du Collège, Alma, QC G8B 3G2, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_cote_du_college.html,
,-71.6385694,48.5444227,Coop.Hab. Croisée d'Alma ,Coopérative (Coop),,,"251 Rue Alarie, Alma, QC G8B 1B1, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_croisee_dalma.html,
,-72.3334443,48.5955767,Coop.Hab. de Saint-Prime ,Coopérative (Coop),,,"44 Rue des Cornouillers Bureau 209, Saint-Prime, QC G8J 2C5, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_de_saint_prime.html,
,-71.6523863,48.5536377,Coop.Hab. Dequen ,Coopérative (Coop),,,"4 Boulevard de Quen, Alma, QC G8B, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_dequen.html,
,-71.0760562,48.4084340,Coop.Hab. Deux-Rivières ,Coopérative (Coop),,,"210 Rue du Cran, Chicoutimi, QC G7J 2K2, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_deux_rivieres.html,
,-71.0411688,48.4283151,Coop.Hab. Ebène ,Coopérative (Coop),,,"874 Rue Léonidas Bélanger, Chicoutimi, QC G7H, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_ebene.html,
,-71.0982320,48.4052603,Coop.Hab. Ecluse ,Coopérative (Coop),,,"889 Rue de l'Écluse bureau 12, Chicoutimi, QC G7J 4X3, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_ecluse.html,
,-71.0690643,48.4265798,Coop.Hab. Emile-Couture ,Coopérative (Coop),,,"12 Rue Jacques-Cartier O, Chicoutimi, QC G7J, Canada",,,,http://www.habitation.gouv.qc.ca/repertoire/organisme/coophab_emile_couture.html,
